Year,Month,Value
2020,January,10725
2020,February,9622
2020,March,10690
2020,April,10886
2020,May,11966
2020,June,13016
2019,Total,120913
2019,January,11904
2019,February,10115
2019,March,10206
2019,April,10343
2019,May,10657
2019,June,9263
2019,July,9989
2019,August,9065
2019,September,9113
2019,October,10519
2019,November,9374
2019,December,10365
2018,Total,120053
2018,January,10659
2018,February,9391
2018,March,12080
2018,April,10825
2018,May,9940
2018,June,9036
2018,July,9525
2018,August,9215
2018,September,9249
2018,October,10256
2018,November,9545
2018,December,10326
2018,Unknown,6
2017,Total,119311
2017,January,11978
2017,February,10188
2017,March,10205
2017,April,9793
2017,May,10142
2017,June,9304
2017,July,9272
2017,August,9134
2017,September,9233
2017,October,10629
2017,November,9509
2017,December,9916
2016,Total,119379
2016,January,11322
2016,February,9764
2016,March,10260
2016,April,9817
2016,May,10453
2016,June,9629
2016,July,9377
2016,August,9134
2016,September,9073
2016,October,10364
2016,November,9969
2016,December,10207
2016,Unknown,10
2015,Total,120026
2015,January,11366
2015,February,10005
2015,March,11148
2015,April,10410
2015,May,10210
2015,June,9399
2015,July,9342
2015,August,9678
2015,September,8964
2015,October,10202
2015,November,9286
2015,December,10015
2014,Total,121542
2014,January,11006
2014,February,9819
2014,March,10600
2014,April,10184
2014,May,10646
2014,June,9312
2014,July,9961
2014,August,9702
2014,September,9469
2014,October,10526
2014,November,9832
2014,December,10476
2014,Unknown,9
2013,Total,125326
2013,January,11892
2013,February,10162
2013,March,11553
2013,April,10863
2013,May,10569
2013,June,9627
2013,July,9566
2013,August,9605
2013,September,10022
2013,October,11022
2013,November,9943
2013,December,10497
2013,Unknown,5
2012,Total,126531
2012,January,11281
2012,February,10851
2012,March,10573
2012,April,10569
2012,May,10477
2012,June,9936
2012,July,10776
2012,August,9538
2012,September,9840
2012,October,10964
2012,November,10279
2012,December,11447
2011,Total,135090
2011,January,12077
2011,February,11279
2011,March,12106
2011,April,11424
2011,May,11751
2011,June,10679
2011,July,11285
2011,August,10617
2011,September,10595
2011,October,11821
2011,November,10661
2011,December,10794
2011,Unknown,1
2009,Total,135097
2009,January,12739
2009,February,10903
2009,March,12257
2009,April,11360
2009,May,11433
2009,June,10542
2009,July,10282
2009,August,9952
2009,September,10049
2009,October,11802
2009,November,11735
2009,December,12036
2009,Unknown,7
2008,Total,133879
2008,January,12430
2008,February,10776
2008,March,11555
2008,April,11033
2008,May,11594
2008,June,10572
2008,July,10332
2008,August,10094
2008,September,10754
2008,October,11750
2008,November,11284
2008,December,11693
2008,Unknown,12
2007,Total,132993
2007,January,12046
2007,February,10908
2007,March,12595
2007,April,11212
2007,May,11889
2007,June,10029
2007,July,10399
2007,August,10143
2007,September,10258
2007,October,11150
2007,November,10946
2007,December,11409
2007,Unknown,9
2005,Total,141789
2005,January,11598
2005,February,12073
2005,March,13614
2005,April,11552
2005,May,12725
2005,June,11032
2005,July,10375
2005,August,11012
2005,September,10792
2005,October,11555
2005,November,12240
2005,December,11775
2005,Unknown,1446
2004,Total,140064
2004,January,14333
2004,February,11263
2004,March,11786
2004,April,11534
2004,May,11890
2004,June,10943
2004,July,10735
2004,August,10532
2004,September,10775
2004,October,12125
2004,November,11774
2004,December,12355
2004,Unknown,19
2003,Total,143200
2003,January,14245
2003,February,11377
2003,March,12556
2003,April,11999
2003,May,12036
2003,June,10625
2003,July,11253
2003,August,10391
2003,September,11489
2003,October,12654
2003,November,11680
2003,December,12875
2003,Unknown,20
2002,Total,146655
2002,January,13840
2002,February,11781
2002,March,14414
2002,April,12424
2002,May,12201
2002,June,10725
2002,July,11523
2002,August,10154
2002,September,10770
2002,October,12751
2002,November,11854
2002,December,14202
2002,Unknown,16
1999,Total,142027
1999,January,12662
1999,February,13692
1999,March,13942
1999,April,12062
1999,May,12681
1999,June,11319
1999,July,10695
1999,August,10410
1999,September,10196
1999,October,11165
1999,November,11338
1999,December,11865
1998,Total,137433
1998,January,12129
1998,February,10869
1998,March,12131
1998,April,11548
1998,May,11204
1998,June,10970
1998,July,10836
1998,August,10131
1998,September,11054
1998,October,12002
1998,November,11941
1998,December,12618
1997,Total,136653
1997,January,13856
1997,February,12422
1997,March,11503
1997,April,12116
1997,May,11390
1997,June,10493
1997,July,10244
1997,August,9428
1997,September,10471
1997,October,11806
1997,November,10856
1997,December,12068
1996,Total,133422
1996,January,15463
1996,February,11671
1996,March,11028
1996,April,10804
1996,May,10902
1996,June,9729
1996,July,10326
1996,August,9603
1996,September,10020
1996,October,11446
1996,November,10714
1996,December,11716
1995,Total,133775
1995,January,12824
1995,February,10249
1995,March,11670
1995,April,11931
1995,May,12296
1995,June,10209
1995,July,9879
1995,August,10113
1995,September,9546
1995,October,11027
1995,November,10896
1995,December,13135
1994,Total,130003
1994,January,11189
1994,February,11328
1994,March,12736
1994,April,11051
1994,May,11200
1994,June,10620
1994,July,10169
1994,August,10039
1994,September,9233
1994,October,10577
1994,November,10771
1994,December,11090
1993,Total,128544
1993,January,11377
1993,February,10669
1993,March,11883
1993,April,10841
1993,May,10755
1993,June,9981
1993,July,10056
1993,August,9811
1993,September,10121
1993,October,10515
1993,November,11062
1993,December,11473
1992,Total,116674
1992,January,10993
1992,February,9907
1992,March,9761
1992,April,9314
1992,May,9765
1992,June,9055
1992,July,9260
1992,August,8927
1992,September,8724
1992,October,10330
1992,November,9988
1992,December,10650
1991,Total,114650
1991,January,10154
1991,February,10052
1991,March,10168
1991,April,9943
1991,May,9762
1991,June,9343
1991,July,9282
1991,August,8715
1991,September,8498
1991,October,9388
1991,November,9384
1991,December,9961
1990,Total,109582
1990,January,11751
1990,February,9188
1990,March,9363
1990,April,8605
1990,May,9353
1990,June,8673
1990,July,8211
1990,August,8172
1990,September,8136
1990,October,9413
1990,November,9092
1990,December,9625
1989,Total,103479
1989,January,9294
1989,February,8314
1989,March,9168
1989,April,8696
1989,May,8897
1989,June,7904
1989,July,8171
1989,August,7827
1989,September,7951
1989,October,8980
1989,November,8522
1989,December,9755
1988,Total,102671
1988,January,8862
1988,February,9443
1988,March,9899
1988,April,8648
1988,May,8515
1988,June,7691
1988,July,8043
1988,August,7714
1988,September,7689
1988,October,8319
1988,November,8750
1988,December,9098
1987,Total,99921
1987,January,10253
1987,February,8170
1987,March,8975
1987,April,8506
1987,May,8314
1987,June,8018
1987,July,7839
1987,August,7606
1987,September,7497
1987,October,7893
1987,November,7994
1987,December,8856
1986,Total,97276
1986,January,8491
1986,February,8309
1986,March,8869
1986,April,8197
1986,May,8500
1986,June,7826
1986,July,7652
1986,August,6862
1986,September,7549
1986,October,8139
1986,November,8506
1986,December,8376
1985,Total,105690
1985,January,10541
1985,February,11461
1985,March,11314
1985,April,8825
1985,May,9043
1985,June,7796
1985,July,7543
1985,August,7345
1985,September,7227
1985,October,7954
1985,November,7998
1985,December,8643
1984,Total,104274
1984,January,9119
1984,February,10046
1984,March,10094
1984,April,8491
1984,May,8955
1984,June,7840
1984,July,7998
1984,August,7628
1984,September,7454
1984,October,8603
1984,November,8923
1984,December,9123
1983,Total,97849
1983,January,8458
1983,February,7541
1983,March,9123
1983,April,8268
1983,May,8571
1983,June,7687
1983,July,7827
1983,August,7488
1983,September,7512
1983,October,8167
1983,November,8466
1983,December,8741
1982,Total,93840
1982,January,8502
1982,February,7554
1982,March,8377
1982,April,7771
1982,May,7867
1982,June,7372
1982,July,7496
1982,August,7203
1982,September,7153
1982,October,8178
1982,November,8048
1982,December,8319
1981,Total,93136
1981,January,9434
1981,February,8278
1981,March,8543
1981,April,7699
1981,May,8140
1981,June,7200
1981,July,7356
1981,August,6936
1981,September,7224
1981,October,7134
1981,November,7249
1981,December,7943
1980,Total,95514
1980,January,11772
1980,February,7987
1980,March,8237
1980,April,7818
1980,May,7995
1980,June,7172
1980,July,6933
1980,August,6645
1980,September,6721
1980,October,7640
1980,November,8013
1980,December,8581
